name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Alabama, Autauga",9790,142,4.73013075304401,0.0268641470888662,76.0,88.457040416,0.3741,0.658,5.0,1271,0.74,0.3,0.1934317728,0.0048020719,11.7,14.6,8128.5911903,0.1808155718,0.111,0.333,7.1,0.3631
"Alabama, Baldwin",36602,518,3.61431415178285,0.0215288782033769,121.0,86.997429882,0.3359,0.571,5.0,1399,0.75,0.41,0.0878397593,0.0077239912,10.3,19.5,7354.1225298,0.174890326,0.107,0.31,8.9,0.2232
"Alabama, Barbour",3521,71,4.74257465535951,0.0335132064754331,27.5,102.29176221,0.9889,0.643,3.7,689,0.66,0.72,0.4803263534,0.0065913749,11.5,18.0,10253.573403,0.2199998453,0.176,0.417,11.3,0.978
"Alabama, Bibb",4163,83,8.21428571428571,0.0441988950276243,28.9,29.335580011,0.7189,0.702,4.3,1992,0.33,0.3062,0.2112053571,0.004375,11.2,16.3,11977.539484,0.1911419989,0.145,0.376,10.7,0.7694
"Alabama, Blount",9878,162,6.86376210235131,0.0401903219275157,71.7,33.411781963,0.1741,0.735,5.0,1371,0.35,0.0,0.014626556,0.0065352697,11.7,17.8,11335.071134,0.1920867197,0.17,0.338,10.8,0.6143
"Alabama, Bullock",1507,44,3.35371868218584,0.0225613802256138,15.6,4.0665381995,0.765,0.567,3.0,2435,0.41,0.0,0.6954034326,0.0083842967,11.2,15.6,11679.558981,0.2289466401,0.237,0.372,11.4,0.9771
"Alabama, Butler",3210,91,4.6239837398374,0.0283489096573209,25.1,19.311067904,0.6259,0.662,4.3,1013,0.51,0.4,0.4455792683,0.0037601626,10.6,19.0,14359.939103,0.2176533496,0.192,0.433,8.7,0.8455
"Alabama, Calhoun",21751,433,11.9971647838148,0.0630315847547239,193.1,109.89916308,0.6492,0.603,5.0,1342,0.91,0.64,0.2085021483,0.0053991617,11.8,16.8,12078.616145,0.2061256037,0.175,0.385,9.5,0.7866
"Alabama, Chambers",5498,138,6.45545143537111,0.0394688977810113,46.7,20.271586909,0.7943,0.731,5.0,860,0.77,0.0,0.3956567009,0.0030641083,11.4,18.9,11112.536614,0.1939292705,0.199,0.401,10.3,0.6901
"Alabama, Cherokee",2954,57,5.14751075599262,0.045362220717671,37.0,25.908887044,0.2741,0.726,5.0,657,0.3,0.0,0.0424093423,0.0066072526,11.4,21.7,12349.707594,0.1749867379,0.152,0.35,8.6,0.6879
"Alabama, Chilton",6486,146,4.91472833103073,0.0334566759173605,54.2,28.80120495,0.3636,0.698,5.0,1200,0.26,0.03,0.0996761262,0.0056621294,11.2,15.8,10019.3128,0.2018897906,0.186,0.377,13.0,0.7685
"Alabama, Choctaw",778,27,4.04952885289308,0.0668380462724936,13.3,17.189832601,0.5775,0.443,4.0,294,0.19,0.0,0.415154583,0.0018690133,10.1,22.1,12479.822147,0.1879324829,0.174,0.413,10.3,0.9057
"Alabama, Clarke",4689,80,6.31270903010033,0.0322030283642568,21.2,66.287632266,0.7345,0.555,4.0,737,0.25,0.0,0.4432692308,0.0052675585,10.4,19.0,11144.037371,0.2057965532,0.224,0.341,9.7,0.9436
"Alabama, Clay",2327,66,7.2316384180791,0.0412548345509239,20.5,37.230490328,0.1579,0.637,4.0,1791,0.32,0.0,0.1383050847,0.0054237288,10.6,19.8,10461.83432,0.1962035415,0.135,0.406,10.3,0.8162
"Alabama, Cleburne",2437,53,21.7521852271969,0.133771029954863,21.4,41.333776458,0.1,0.733,4.0,872,0.7125,0.2188,0.0286915327,0.0049376126,11.0,18.8,11087.984454,0.1837446577,0.125,0.373,12.3,0.8694
"Alabama, Coffee",9076,183,7.60947041938777,0.0435213750550903,70.3,58.321196812,0.1923,0.668,5.0,1190,0.67,1.25,0.1718777091,0.0141016009,10.9,16.3,8175.3623921,0.1744475759,0.161,0.342,9.8,0.5373
"Alabama, Colbert",8644,187,5.07651291041233,0.0321610365571495,92.0,80.776854508,0.1025,0.579,5.0,1318,0.62,0.63,0.1599832,0.0066286841,10.7,19.3,10644.992124,0.1865882106,0.162,0.306,7.2,0.6519
"Alabama, Conecuh",1836,49,4.64282805245581,0.0310457516339869,14.3,34.495784039,0.213,0.64,3.7,945,0.53,0.2088,0.4566262116,0.0051315468,10.3,21.6,10822.452428,0.2110751296,0.259,0.43,12.7,0.9529
"Alabama, Coosa",1742,36,8.77274848343444,0.0539609644087256,12.3,24.292868849,0.2913,0.65,3.0,1425,0.5325,0.2712,0.3047130191,0.0059729351,11.0,21.8,12691.204176,0.2039996562,0.208,0.403,8.0,0.693
"Alabama, Covington",6556,170,5.19115340939815,0.0292861500915192,34.6,42.463348946,0.4702,0.669,5.0,453,0.72,0.25,0.1244254583,0.0069215379,10.5,20.5,11418.122816,0.1924945154,0.153,0.317,11.1,0.8232
"Alabama, Crenshaw",2410,72,5.64236111111111,0.0323651452282158,20.2,57.646953199,0.2353,0.705,4.0,857,0.53,0.0,0.2322048611,0.0062934028,10.7,18.3,9944.64447,0.1864692956,0.182,0.38,8.7,0.7271
"Alabama, Cullman",14965,278,9.61146664749167,0.0535917139993318,106.9,51.370290123,0.3945,0.663,5.0,2114,0.88,0.92,0.0120562786,0.0064595767,11.6,18.0,10182.18218,0.1790107122,0.193,0.369,11.1,0.6895
"Alabama, Dale",8739,178,8.57913228204919,0.0480604188122211,98.3,41.485754492,0.455,0.55,5.0,1021,0.67,0.35,0.2045101724,0.0080071901,11.0,16.1,10467.436009,0.2005739493,0.158,0.372,11.6,0.779
"Alabama, Dallas",4760,190,3.08013573479509,0.0247899159663866,41.5,60.708334698,0.8392,0.637,4.0,1473,0.58,0.6,0.7005742626,0.0028974158,11.1,16.8,14717.166071,0.2408899101,0.159,0.431,11.1,0.9669
"Alabama, DeKalb",12348,248,5.79953771800799,0.0335276967930029,88.2,53.003998974,0.4779,0.719,5.0,825,0.72,0.5,0.0144848357,0.020298382,11.3,16.3,10747.783715,0.2102827079,0.128,0.292,13.7,0.8035
"Alabama, Elmore",14735,273,8.19421886257892,0.0455378350865287,99.6,57.061953869,0.5177,0.629,5.0,1263,0.2,0.0,0.2121460061,0.005190079,11.9,14.5,8762.5525693,0.1745250185,0.158,0.343,7.4,0.4911
"Alabama, Escambia",6648,124,4.10906716011756,0.0227135980746089,37.6,35.83380504,0.5839,0.691,4.3,980,0.4,0.22,0.3140306955,0.0387231958,10.2,17.3,12227.375778,0.2241258458,0.188,0.394,14.2,0.9557
"Alabama, Etowah",19588,474,8.82918215432045,0.0462017561772514,179.8,140.04365706,0.2904,0.649,5.0,930,0.81,0.59,0.1548375138,0.0060877455,11.5,18.3,11905.222386,0.201473986,0.157,0.355,10.6,0.7169
"Alabama, Fayette",2838,74,6.20702245481653,0.0359408033826638,23.4,34.075608096,0.5454,0.702,4.0,1484,0.57,0.0,0.1185419583,0.0046856934,10.6,20.5,9720.775126,0.1800159326,0.233,0.41,7.6,0.8306
"Alabama, Franklin",5876,103,6.66390332557472,0.035568413886998,47.1,40.926371899,0.5275,0.622,5.0,1193,0.55,0.37,0.0388355706,0.0154640819,10.5,16.2,10155.227272,0.1925058304,0.148,0.343,11.7,0.8713
"Alabama, Geneva",4500,121,8.39857110283499,0.0491111111111111,39.0,44.822864237,0.2716,0.67,5.0,887,0.56,0.13,0.0931443338,0.0102606977,10.6,19.4,11145.173201,0.2000360328,0.169,0.387,12.6,0.9376
"Alabama, Greene",1231,44,4.37264666585692,0.0292445166531275,12.6,35.065799685,0.9554,0.586,3.7,1479,0.52,0.1612,0.796064618,0.003279485,10.5,20.4,11618.619777,0.2463281871,0.145,0.355,12.8,0.9959
"Alabama, Hale",2948,86,5.36466114355562,0.026797829036635,18.9,42.621492226,0.9347,0.473,3.7,2334,0.28,0.1475,0.5780252614,0.0025125628,10.8,18.3,12327.018415,0.2207729134,0.178,0.404,9.5,0.9334
"Alabama, Henry",3060,61,5.75280376547156,0.0323529411764706,26.3,29.318003398,0.2713,0.615,4.0,564,0.6575,0.2888,0.2582950782,0.004939276,10.9,21.6,9242.4857316,0.1842984544,0.166,0.363,9.8,0.6971
"Alabama, Houston",17051,391,7.41964439181834,0.0455691748284558,194.1,139.95730138,0.3502,0.633,5.0,614,0.85,0.59,0.2691984492,0.005404786,10.7,16.9,9647.1905115,0.1924978278,0.135,0.381,10.5,0.6943
"Alabama, Jackson",9562,164,7.88619143343127,0.0426688977201422,45.2,29.91325272,0.3231,0.587,4.3,994,0.77,0.52,0.0341348384,0.0168161435,11.0,19.1,11088.146204,0.1995892088,0.165,0.387,9.5,0.7927
"Alabama, Jefferson",112982,1815,4.77021082966783,0.027836292506771,664.2,419.07184692,0.6211,0.507,5.0,2168,0.83,0.48,0.4312604277,0.0028697103,13.4,15.0,10969.508203,0.1762204526,0.129,0.346,9.2,0.5185
"Alabama, Lamar",2026,45,9.89598381970529,0.0676209279368213,22.2,28.620642691,0.3251,0.624,4.0,956,0.6162,0.1875,0.1039439468,0.0028893383,10.3,21.1,11927.627344,0.20430552,0.188,0.357,10.6,0.8726
"Alabama, Lauderdale",13796,284,6.38617987379177,0.0427660191359814,123.9,108.45939758,0.5622,0.597,5.0,1191,0.84,1.05,0.0989316679,0.004513622,11.0,19.3,9035.0572587,0.166560043,0.138,0.325,9.0,0.4946
"Alabama, Lawrence",4176,109,3.24665473192342,0.0256226053639847,39.2,30.072634505,0.2028,0.593,4.3,893,0.17,0.33,0.1083229663,0.0580453318,11.3,17.4,11825.56396,0.2018764616,0.193,0.326,9.1,0.7373
"Alabama, Lee",22920,228,5.28238817623413,0.037783595113438,239.6,120.03427766,0.9214,0.662,5.0,853,0.86,0.79,0.2277709664,0.0037269505,12.1,11.1,6973.4502895,0.1756014041,0.09,0.299,7.8,0.5465
"Alabama, Limestone",14910,193,7.09131366065673,0.0457411133467472,129.5,49.284102759,0.4521,0.683,5.0,1871,0.75,0.36,0.1349325181,0.0082662674,11.8,14.7,7722.2085509,0.1817335659,0.138,0.339,9.6,0.5812
"Alabama, Lowndes",1720,60,2.60677762181672,0.0151162790697674,14.0,11.478990359,0.4954,0.589,4.0,3064,0.4538,0.2712,0.7193703629,0.0037096451,10.9,17.9,15840.441782,0.2261591119,0.139,0.469,8.8,0.9732
"Alabama, Macon",2249,58,5.09789034112479,0.0417963539350823,32.2,14.698931079,0.915,0.599,4.0,4024,0.6162,0.3412,0.8004772493,0.0026574109,11.7,18.6,12688.780867,0.2141469639,0.23,0.496,7.5,0.9494
"Alabama, Madison",51090,649,6.37893260649516,0.0457623801135252,501.8,199.0231982,0.3836,0.481,5.0,2150,0.86,0.68,0.2443693233,0.0080978067,11.6,14.3,8270.3059858,0.168201727,0.135,0.329,8.3,0.2863
"Alabama, Marengo",3292,88,3.82880520297913,0.0221749696233293,20.7,81.482563457,0.4088,0.527,4.0,1728,0.68,0.23,0.5107521242,0.0024126718,10.6,18.9,12171.584832,0.2135600035,0.176,0.422,8.8,0.8643
"Alabama, Marion",4876,125,7.42532674797567,0.04532403609516,39.6,56.105226118,0.4209,0.686,5.0,1212,0.53,0.07,0.0378322078,0.0042334442,10.5,20.8,11106.407394,0.1906020361,0.204,0.368,8.7,0.778
"Alabama, Marshall",18045,282,7.24177756505634,0.0385702410640067,155.3,64.654921157,0.3149,0.614,5.0,1122,0.6,0.23,0.02403521,0.0112164313,11.8,16.8,10062.94593,0.2101785348,0.118,0.344,12.3,0.7427
"Alabama, Mobile",71459,1270,3.19994586194312,0.0185281070264068,346.7,252.62364518,0.723,0.582,5.0,1390,0.81,0.46,0.3574561881,0.0093895692,10.8,15.3,10464.359728,0.1936996915,0.14,0.363,11.2,0.6815
"Alabama, Monroe",3241,58,5.2214363696777,0.0339401419315026,23.1,32.166072774,0.3728,0.626,4.0,3444,0.34,0.02,0.409645417,0.0134333318,10.4,18.9,12611.65879,0.2325753896,0.184,0.418,11.4,0.9551
"Alabama, Montgomery",33590,694,3.93332831331972,0.026436439416493,337.5,359.06387109,0.7463,0.56,5.0,1526,0.73,0.54,0.5854546582,0.0033663621,11.9,14.2,9820.7757858,0.1968315291,0.139,0.377,10.0,0.6984
"Alabama, Morgan",20236,346,6.69247369614322,0.0393852540027673,198.6,123.4341194,0.5775,0.626,5.0,1581,0.75,0.63,0.1265943958,0.0110085734,11.6,16.7,9540.7807595,0.1885570615,0.127,0.324,9.6,0.5838
"Alabama, Perry",1368,38,1.96936542669584,0.0131578947368421,13.6,23.589110522,0.994,0.581,3.0,2096,0.4575,0.29,0.675273523,0.0026258206,10.7,18.6,14264.365984,0.2600308857,0.158,0.434,9.3,0.9879
"Alabama, Pickens",3103,77,5.41679205537165,0.0348050273928456,18.8,32.215524233,0.8163,0.585,4.0,1019,0.475,0.085,0.398234527,0.0024074631,10.5,18.4,9794.3919139,0.2119912304,0.15,0.349,9.1,0.9156
"Alabama, Pike",4672,101,4.28939948407223,0.0306078767123288,53.4,66.972580396,0.9233,0.646,5.0,837,0.54,0.3,0.3731477593,0.0070790089,11.0,14.6,10402.613289,0.2060465618,0.123,0.362,9.7,0.9143
"Alabama, Randolph",3194,58,9.68096809680968,0.0688791484032561,35.6,35.992721849,0.8157,0.714,5.0,1642,0.4,0.0,0.1936193619,0.0047084708,11.0,20.0,10407.063254,0.1899835753,0.165,0.374,9.1,0.7252
"Alabama, Russell",6167,57,3.79017324033852,0.0355115939678936,72.9,222.45746313,0.7768,0.677,5.0,939,0.77,0.3,0.4475692702,0.006213115,12.1,13.4,11234.374839,0.2179131984,0.19,0.451,11.5,0.8433
"Alabama, St. Clair",15673,326,6.79896267899425,0.0384738084604096,109.3,49.022614257,0.2502,0.663,5.0,1764,0.65,0.17,0.0932574135,0.0035967978,12.0,15.9,9942.7580256,0.1833530128,0.138,0.366,8.5,0.5475
"Alabama, Shelby",36804,322,6.5459164514828,0.0383653950657537,241.1,113.39836904,0.1764,0.69,5.0,1707,0.76,0.36,0.1289109765,0.0039451664,12.0,14.3,6106.0160751,0.1556115747,0.105,0.35,6.2,0.0841
"Alabama, Sumter",1256,37,1.57591994326688,0.0159235668789809,14.8,13.287572653,0.9866,0.575,4.0,1843,0.36,0.0,0.7141281223,0.001339532,10.4,16.9,13159.071054,0.2249191497,0.205,0.428,12.5,0.9561
"Alabama, Talladega",13323,253,10.1718695194669,0.0609472341064325,104.8,69.264346917,0.7985,0.683,5.0,1247,0.72,0.56,0.3256752017,0.0040837801,11.5,17.1,12063.089161,0.2315986226,0.163,0.388,9.3,0.8729
"Alabama, Tallapoosa",6838,189,9.95135442131516,0.05893536121673,53.3,44.024045928,0.8685,0.661,5.0,2178,0.53,0.38,0.2677976146,0.0042719214,11.4,20.4,10543.51064,0.1818006718,0.159,0.36,8.2,0.8771
"Alabama, Tuscaloosa",34442,567,6.00734283977387,0.0364380697985018,161.8,229.95362607,0.809,0.623,5.0,1406,0.71,0.32,0.3184466112,0.0033459224,11.3,12.5,8773.6407491,0.178726324,0.119,0.346,7.2,0.6
"Alabama, Walker",10806,341,7.81654659320996,0.0460855080510827,78.0,27.610995776,0.4492,0.592,5.0,1683,0.66,0.36,0.0606331717,0.0055720362,11.6,18.6,15205.873711,0.2268098456,0.142,0.396,11.8,0.8685
"Alabama, Washington",2480,49,2.25912809866895,0.0149193548387097,16.2,15.062123163,0.2566,0.592,3.0,502,0.1,0.0,0.2333007693,0.0785810233,10.1,18.3,12133.238991,0.2079009208,0.166,0.329,9.4,0.8777
"Alabama, Wilcox",1645,37,9.03359367648443,0.0583586626139818,12.8,15.959194821,0.6176,0.549,3.7,1581,0.08,0.2212,0.7073492049,0.0022583984,10.4,18.4,12986.861792,0.2206663015,0.199,0.477,10.9,0.9882
"Alabama, Winston",4345,98,9.89010989010989,0.0538550057537399,37.3,18.875757458,0.5084,0.809,4.3,1926,0.4,0.0,0.0079459003,0.0087066779,11.0,21.1,10860.070399,0.196479681,0.195,0.378,12.3,0.8334
"Alaska, Aleutians East",118,0,3.69843527738265,0.110169491525424,0.5,0.0,0.9351,0.317,3.0,60,0.57,0.1363,0.1041251778,0.1968705548,,8.8,,0.1664681092,0.126,0.505,46.3,0.3376
"Alaska, Aleutians West",321,1,7.16407478595142,0.127725856697819,1.5,0.0,0.9955,0.451,1.0,870,0.57,0.1363,0.0648261401,0.1177704001,,5.8,2854.8516346,0.1514282335,0.098,0.443,17.5,0.0987
"Alaska, Anchorage",47649,273,16.7285225253655,0.102352620201893,178.3,462.57206722,0.8176,0.456,5.0,2215,0.88,0.24,0.0544800335,0.0887191378,,10.0,7680.0761724,0.1504143203,0.078,0.318,11.2,0.1325
"Alaska, Bethel",5211,25,21.2999560825648,0.0744578775666859,0.4,4.7274481249,0.9478,0.437,2.3,261,0.64,0.33,0.0091128678,0.8378897672,,7.1,14126.360879,0.304180171,0.061,0.31,20.3,0.9624
"Alaska, Bristol Bay",608,2,0.0,0.0,2.2,0.0,0.887,0.1,3.0,239,0.57,0.1363,0.007981756,0.3261117446,,9.6,,0.1813764362,0.149,0.418,20.5,0.1857
"Alaska, Denali",176,0,9.2277804759592,0.107954545454545,0.2,5.3996989275,0.5536,0.544,3.7,1097,0.57,0.1363,0.0213695969,0.0529383196,,7.3,7556.0998113,0.175746877,0.049,0.253,18.5,0.1561
"Alaska, Dillingham",610,5,22.8,0.186885245901639,0.3,0.0,0.9093,0.575,3.0,102,0.18,0.0,0.0072,0.7234,,8.6,13105.632679,0.2693081718,0.103,0.356,20.9,0.7341
"Alaska, Fairbanks North Star",12959,61,21.3901041719292,0.163361370476117,14.2,107.78021727,0.7529,0.536,3.7,412,0.85,0.11,0.0490042538,0.0791140839,,9.2,7006.5964938,0.1585357887,0.062,0.3,9.8,0.1876
"Alaska, Haines",202,0,16.1681487469685,0.198019801980198,1.0,9.0782676628,0.482,0.373,3.0,870,0.57,0.11,0.0060630558,0.1046887631,,24.4,4747.9232216,0.161178286,0.074,0.27,13.4,0.0484
"Alaska, Hoonah-Angoon",0,0,0.0,,0.3,0.207254105,0.7794,0.352,3.0,1769,0.57,0.11,0.0190609019,0.3770339377,,19.5,6015.2066859,0.200737377,0.144,0.322,24.7,0.3344
"Alaska, Juneau City and Borough",3014,8,12.6117148818236,0.134372926343729,11.9,95.182467151,0.9322,0.353,3.7,3190,0.35,0.01,0.0121446143,0.1186124,,12.0,7650.7088322,0.1658487086,0.065,0.273,10.5,0.1025
"Alaska, Kenai Peninsula",8652,40,19.2882647395486,0.130490060101711,3.5,42.994245793,0.7402,0.595,3.7,1080,0.57,0.1363,0.0065604018,0.0795961253,,15.6,8212.9583509,0.1733815308,0.084,0.327,16.0,0.3169
"Alaska, Ketchikan Gateway",1361,8,8.69377784164391,0.088905216752388,2.4,0.0,0.9242,0.432,3.0,2122,0.64,0.0,0.0094841213,0.1401781865,,14.1,7733.0478688,0.1693510011,0.092,0.382,11.4,0.2452
"Alaska, Kodiak Island",2042,7,27.875608842263,0.182174338883448,2.1,0.0,0.9535,0.441,3.0,339,0.48,0.0,0.0102660172,0.1281378794,,9.1,5023.5305113,0.1543897324,0.08,0.341,17.2,0.2354
"Alaska, Kusilvak",1508,4,0.0,0.0,0.4,0.0,0.6804,0.43,3.0,84,0.57,0.1363,0.0040949055,0.9223172347,,5.6,19111.252266,0.4100094861,0.047,0.232,19.9,0.9936
"Alaska, Lake and Peninsula",0,0,0.0,,0.1,0.0,0.7195,0.496,3.0,0,0.57,0.1363,0.0100819156,0.6149968494,,7.9,13744.203895,0.2830118877,0.095,0.378,33.4,0.7532
"Alaska, Matanuska-Susitna",18300,83,23.1762847319022,0.136284153005464,3.8,49.420106321,0.262,0.682,3.7,895,0.59,0.41,0.0114580429,0.068627451,,10.7,6908.435191,0.1750057946,0.087,0.344,14.8,0.3529
"Alaska, Nome",1086,0,13.0895283772982,0.120626151012891,0.4,10.601262873,0.9102,0.394,1.0,10,0.58,0.0,0.0076938449,0.7547961631,,7.5,14661.794409,0.3153057287,0.074,0.403,20.7,0.8962
"Alaska, North Slope",2195,4,31.6045380875203,0.142141230068337,0.2,10.141895162,0.9924,0.674,3.0,81,0.57,0.1363,0.0145867099,0.5277552674,,6.4,10484.625884,0.2385108657,0.076,0.401,18.6,0.3261
"Alaska, Northwest Arctic",1304,4,45.7567461869378,0.269171779141104,0.2,0.0,0.9656,0.503,3.0,276,0.36,0.0,0.0106896102,0.7928562117,,7.7,16982.255443,0.3051691785,0.108,0.421,25.7,0.9102
"Alaska, Petersburg",179,2,0.0,0.0,1.0,38.247565349,0.93,0.342,3.0,765,0.555,0.0375,0.0214219187,0.1099037566,,21.5,8533.8100993,0.1518753835,0.082,0.25,9.6,0.1643
"Alaska, Prince of Wales-Hyder",251,4,0.0,0.0,1.4,0.0,0.8943,0.522,1.0,532,0.59,0.0375,0.0051385861,0.4296169418,,14.8,13102.630303,0.2227222789,0.136,0.449,24.7,0.5885
"Alaska, Sitka City and Borough",1008,5,6.82317566786169,0.058531746031746,3.0,0.0,0.9417,0.318,3.0,1189,0.5,0.0,0.0093674107,0.1632936278,,14.5,5871.4440814,0.1625045499,0.079,0.266,16.3,0.0576
"Alaska, Skagway",30,0,0.0,0.0,1.8,59.934883632,0.8115,0.337,3.0,254,0.57,0.11,0.0069686411,0.0513937282,,11.3,,0.1558438516,0.062,0.326,18.2,0.1532
"Alaska, Southeast Fairbanks",977,9,11.8531367447239,0.0839303991811668,0.3,5.1927815832,0.7259,0.73,3.0,102,0.5588,0.0963,0.0163342006,0.1256143394,,12.9,7042.4370531,0.1961017034,0.095,0.328,17.1,0.4064
"Alaska, Valdez-Cordova",862,4,14.7315582714972,0.15661252900232,0.3,8.6458404051,0.8513,0.489,3.0,0,0.5588,0.0963,0.0089480576,0.142186818,,12.4,7320.5580038,0.1659062272,0.112,0.348,19.2,0.1503
"Alaska, Wrangell City and Borough",71,0,0.0,0.0,0.9,0.0,0.8052,0.48,3.0,679,0.555,0.0375,0.0047942469,0.1654015182,,22.1,11726.842122,0.1738448444,0.138,0.426,18.8,0.2787
"Alaska, Yakutat City and Borough",0,0,0.0,,0.1,0.0,0.9612,0.309,3.0,0,0.5588,0.0963,0.0198675497,0.3956953642,,12.3,,0.1987994674,0.078,0.319,23.7,0.2115
"Alaska, Yukon-Koyukuk",602,5,17.6459545710531,0.156146179401993,0.0,1.91767388,0.7762,0.395,3.7,727,0.57,0.1363,0.0080720856,0.695888868,,13.6,18288.639546,0.2969143357,0.091,0.305,27.1,0.8873
"Arizona, Apache",13181,474,3.57849007212676,0.0194977619300508,6.3,14.330120694,0.9118,0.288,3.7,1157,0.49,0.07,0.0050544432,0.7494917709,5.7,14.6,15888.929646,0.2151310702,0.168,0.335,25.1,0.9793
"Arizona, Cochise",14519,330,5.07217796008519,0.0442867966113369,20.7,36.781501597,0.936,0.469,4.0,1777,0.48,0.08,0.0394651731,0.0175514712,7.5,21.0,7452.3219191,0.1499584566,0.105,0.298,7.8,0.6732
"Arizona, Coconino",21616,349,5.38311842860543,0.0355754996299038,8.0,106.37638816,0.9713,0.329,4.0,4254,0.84,0.17,0.0125092752,0.2759040699,5.6,11.6,8704.7846364,0.1599018603,0.075,0.238,11.2,0.6373
"Arizona, Gila",9067,262,4.5649390413628,0.0271313554648726,11.7,120.09815089,0.6689,0.49,3.7,1357,0.42,0.0,0.0063463787,0.1784223125,5.8,27.7,14227.288131,0.1762810473,0.153,0.308,10.0,0.8573
"Arizona, Graham",7044,101,5.64719478882118,0.0305224304372516,7.5,13.150366706,0.9854,0.47,3.3,1045,0.71,0.02,0.0146039084,0.1363469216,6.0,13.2,8634.6411647,0.1753449299,0.099,0.348,6.9,0.8901
"Arizona, Greenlee",980,15,11.8106084572393,0.114285714285714,6.3,3.939573537,0.3537,0.634,3.7,326,0.545,0.0725,0.0169777497,0.041020774,5.7,12.2,7214.854883,0.1426994985,0.117,0.293,4.6,0.5178
"Arizona, La Paz",3042,92,6.16172149018864,0.0427350427350427,4.7,111.60841127,0.7514,0.593,3.7,1796,0.22,0.09,0.0089581951,0.1818655797,5.7,37.9,15452.452583,0.155210102,0.141,0.302,14.7,0.9105
"Arizona, Maricopa",701787,11558,5.29742288515706,0.0332950026147535,483.8,885.04615758,0.7259,0.517,5.0,2448,0.73,0.42,0.0546614419,0.028070492,10.6,14.5,6474.4537293,0.1368639825,0.089,0.269,10.6,0.4175
"Arizona, Mohave",31551,936,5.78382247673586,0.0384139963868023,14.9,64.466765051,0.851,0.645,4.0,1829,0.59,0.29,0.0107134335,0.0302123598,5.1,28.8,10257.173536,0.1935284304,0.136,0.318,8.9,0.7541
"Arizona, Navajo",19904,598,5.34202544252796,0.0296422829581994,11.1,65.467596555,0.9618,0.394,3.7,1550,0.61,0.27,0.0080220924,0.45618181,5.7,16.9,13754.907935,0.2061197836,0.154,0.34,13.2,0.9599
"Arizona, Pima",136445,2660,3.51852083539848,0.0267946791747591,113.5,1864.7979149,0.9825,0.42,5.0,1845,0.83,0.4,0.0338917477,0.0432924347,7.9,18.7,7369.9002317,0.1491646119,0.084,0.25,9.2,0.6061
"Arizona, Pinal",69280,1022,6.06747804928232,0.0391599307159353,67.2,63.831505402,0.8271,0.554,5.0,2270,0.52,0.43,0.0452187021,0.0665253233,11.7,19.3,6770.1018859,0.162744735,0.128,0.326,8.8,0.6962
"Arizona, Santa Cruz",8828,190,2.96704005504074,0.0156320797462619,38.9,167.70962414,0.4448,0.11,3.3,1387,1.0,0.0,0.0039560534,0.0140826901,7.6,16.9,5084.1966057,0.1457144926,0.08,0.269,10.2,0.9497
"Arizona, Yavapai",26442,645,4.92687279357567,0.0432266848196052,29.0,63.225913506,0.5791,0.604,4.0,1322,0.93,0.15,0.0069355541,0.0212290888,5.1,29.8,7756.0396425,0.1706533007,0.107,0.23,9.8,0.4411
"Arizona, Yuma",40849,905,2.46077839794841,0.0127787705941394,36.5,70.884199271,0.9796,0.434,3.7,1060,1.0,0.1,0.0189178232,0.0227409866,8.0,18.0,6104.0695936,0.1332703585,0.141,0.369,12.7,0.9408
"Arkansas, Arkansas",3400,56,3.71433395238899,0.0194117647058824,18.9,39.575871715,0.5368,0.509,4.0,543,0.62,0.33,0.244583263,0.0036017784,10.0,18.4,11452.201205,0.200832304,0.193,0.306,6.8,0.7459
"Arkansas, Ashley",3110,42,5.93634640327247,0.0382636655948553,22.1,26.062480708,0.49,0.565,4.0,478,0.51,0.0,0.244986531,0.0071335927,9.6,19.4,9976.0433029,0.2045206693,0.152,0.426,7.8,0.828
"Arkansas, Baxter",5702,170,2.45080371945506,0.0178884601894072,74.0,77.132821861,0.3158,0.581,5.0,1149,0.63,0.15,0.0035080132,0.0079050434,9.7,30.7,8749.738716,0.1624281588,0.17,0.337,5.2,0.4268
"Arkansas, Benton",40931,580,3.52887662871229,0.0235029684102514,321.3,108.4527881,0.3136,0.558,5.0,670,0.84,0.23,0.0178938256,0.0188439077,10.4,13.1,6154.4418225,0.1651315672,0.09,0.293,8.9,0.1742
"Arkansas, Boone",6057,114,3.89541088580576,0.0241043420835397,65.2,69.004290575,0.46,0.677,5.0,641,0.52,0.11,0.0036286019,0.0086979723,9.4,20.1,8901.3027712,0.1990299442,0.145,0.344,6.9,0.5207
"Arkansas, Bradley",1931,37,2.84481967513995,0.016053858104609,16.2,5.3337241966,0.8924,0.501,3.7,762,0.52,0.0,0.2723685418,0.0152335505,9.8,18.4,11116.727916,0.2176763047,0.161,0.464,11.0,0.8761
"Arkansas, Calhoun",583,7,3.97953382603752,0.0360205831903945,7.9,32.414230303,0.3747,0.684,3.0,96,0.4688,0.0488,0.2122418041,0.0070115596,9.7,20.8,12077.895228,0.2062485566,0.172,0.294,9.3,0.6761
