name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Missouri, Moniteau",2513,38,2.91545189504373,0.0187027457222443,31.6,50.649979084,0.639,0.678,4.3,1537,0.6212,0.1875,0.0396997705,0.0040320079,9.7,15.4,6337.8954057,0.1857453463,0.114,0.422,14.9,0.6045
"Missouri, Monroe",1270,12,2.88550323176362,0.0196850393700787,10.6,45.659309121,0.306,0.605,3.0,833,0.5562,0.1,0.0264312096,0.0060018467,9.7,22.0,7445.4773693,0.1806393259,0.138,0.308,9.5,0.4099
"Missouri, Montgomery",1485,19,3.38130743887637,0.0262626262626263,18.3,84.961375911,0.3973,0.563,3.0,2260,0.5412,0.1562,0.0166464366,0.0028611063,10.0,20.1,10162.50879,0.2073084151,0.132,0.274,9.2,0.6146
"Missouri, Morgan",2546,57,3.53669319186561,0.02827965435978,31.8,31.848978026,0.5463,0.664,4.0,1488,0.66,0.2212,0.0079084389,0.0084487671,9.6,23.4,10003.778369,0.2178167502,0.029,0.351,20.9,0.7525
"Missouri, New Madrid",3223,53,12.8931544865865,0.0691901954700589,28.2,28.012366073,0.5934,0.711,4.3,1101,0.67,0.46,0.1561054579,0.0027752081,11.3,18.2,12632.042543,0.2522816015,0.148,0.358,15.1,0.9392
"Missouri, Newton",7607,117,1.83640545086328,0.0140659918496122,92.8,85.643316824,0.4422,0.774,5.0,1157,1.0,0.0,0.0091820273,0.0259156283,10.0,17.5,8720.9459546,0.201383502,0.104,0.29,12.6,0.4118
"Missouri, Nodaway",2968,29,3.18328550932568,0.023921832884097,27.3,13.110977568,0.5384,0.566,5.0,2603,0.86,0.0,0.0294117647,0.0039903156,9.4,14.5,5824.1048617,0.2010424766,0.087,0.351,9.2,0.5315
"Missouri, Oregon",1306,10,4.26904468266768,0.0344563552833078,12.6,34.80018304,0.171,0.728,4.0,1216,0.5625,0.065,0.004174177,0.0147044872,9.7,23.6,11503.397618,0.2163162119,0.09,0.306,17.1,0.7401
"Missouri, Osage",2094,22,2.04170920227505,0.0133715377268386,20.4,51.980616367,0.1691,0.643,4.0,1087,0.575,0.2488,0.0036459093,0.003937582,9.8,16.7,6395.1746631,0.1744780122,0.204,0.292,4.7,0.2038
"Missouri, Ozark",1073,28,3.54885216812687,0.0298229263746505,11.2,7.0166491456,0.3906,0.728,3.0,676,0.5162,0.0562,0.0019962293,0.0107574581,9.4,26.9,10574.267998,0.2237937388,0.095,0.241,14.9,0.8997
"Missouri, Pemiscot",2008,41,3.31858407079646,0.0268924302788845,32.2,24.578529241,0.6199,0.759,4.0,671,0.7,0.0,0.257313176,0.0049778761,11.0,16.2,13773.708266,0.2501550294,0.196,0.363,12.9,0.9688
"Missouri, Perry",2976,32,6.68407310704961,0.043010752688172,42.2,53.374245992,0.2499,0.651,5.0,2858,0.78,0.0,0.0060574413,0.0057963446,10.8,17.5,7182.659091,0.1917880296,0.086,0.374,6.3,0.3338
"Missouri, Pettis",7120,99,4.95980442856471,0.0296348314606742,65.1,142.81370358,0.6412,0.629,5.0,2355,0.81,0.35,0.0302994688,0.0076865216,9.5,16.2,8301.0691876,0.2155263947,0.153,0.37,14.0,0.7051
"Missouri, Phelps",6019,176,3.86747742108558,0.0287423159993354,70.9,176.88000833,0.8265,0.615,5.0,2149,0.82,0.64,0.0211928821,0.0084056157,9.7,15.4,9474.7858356,0.2028756324,0.115,0.351,7.9,0.6978
"Missouri, Pike",2466,33,4.10722006052745,0.0308191403081914,25.1,35.001066752,0.6794,0.662,4.0,2289,0.78,0.0,0.0777669693,0.0023778642,10.4,16.8,8647.3100983,0.2118311082,0.156,0.372,9.1,0.5895
"Missouri, Platte",5738,59,1.71869689760645,0.0308469850121994,230.8,292.10465139,0.1254,0.517,5.0,2075,1.0,0.12,0.0712142545,0.0056124678,10.2,13.9,5605.0677545,0.1798841385,0.115,0.3,5.8,0.0213
"Missouri, Polk",5021,49,2.26701034129375,0.0145389364668393,46.4,51.043340495,0.823,0.651,5.0,1039,0.43,0.25,0.0090680414,0.0073289649,9.5,17.7,7627.3164577,0.207425614,0.129,0.382,13.3,0.5605
"Missouri, Pulaski",5000,74,3.61441150459492,0.0376,106.7,50.293563519,0.7323,0.46,5.0,1304,0.6288,0.21,0.1114123121,0.0118237398,9.6,8.3,8119.2680976,0.2024168858,0.077,0.324,10.6,0.6363
"Missouri, Putnam",608,9,4.41454698339289,0.0345394736842105,8.4,26.186475318,0.2537,0.707,3.0,618,0.42,0.025,0.0018919487,0.0021021652,9.1,23.7,10450.465351,0.2160429318,0.139,0.289,15.7,0.5911
"Missouri, Ralls",1502,14,5.09204857030944,0.0346205059920107,17.9,44.211298597,0.0436,0.745,3.3,863,0.5162,0.1075,0.0140031336,0.0023501763,10.2,20.4,6193.4180441,0.1850585956,0.091,0.303,8.3,0.3854
"Missouri, Randolph",3506,36,4.36134555586964,0.0308043354249857,49.6,24.093053997,0.7256,0.675,5.0,1188,0.76,0.0,0.0546379679,0.0055324476,9.6,15.9,8695.431523,0.2159321942,0.153,0.404,9.6,0.6774
"Missouri, Ray",2853,47,4.2389546825154,0.0339992989835261,31.4,12.768273488,0.1901,0.653,4.3,2555,0.24,0.0,0.0131538697,0.0063365817,9.4,17.6,9366.9383202,0.1950833818,0.146,0.351,10.3,0.464
"Missouri, Reynolds",672,5,9.75375759513911,0.0907738095238095,9.3,10.305074239,0.4027,0.779,3.0,1419,0.6512,0.11,0.0102334506,0.0110329389,9.5,22.1,10087.875439,0.205913665,0.137,0.316,11.3,0.8175
"Missouri, Ripley",1832,21,10.9693306469666,0.0802401746724891,20.4,19.599547875,0.3432,0.749,4.0,1994,0.6512,0.0813,0.0058950825,0.0097753899,10.2,19.8,13345.01646,0.2385362393,0.19,0.364,14.5,0.9226
