fips,PopDensity,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,COPD,Stroke,HF,HTN,KD,WBSeg,WNWSeg
5129,11.83173445,50.12054308,0,96.0,2.27,12.0,16.5,21.6,2.470785282,21.1,0.6666,0.5903,0.2623,3.1579,6.6482,15.4571,3.3241,12.7424,56.5097,19.0028,1.0,28.64703419
5131,240.31697090000003,48.87778012,1,59.0,2.49,15.8,17.4,18.6,5.481958764,22.8,0.672,0.852,0.6998,4.405,7.7356,12.9811,3.6213,15.7619,59.0849,24.338,53.21976491,42.53082483
5133,30.09396068,50.06173928,0,165.0,2.83,22.8,28.2,19.5,3.40432451,18.9,0.8341,0.3747,0.3432,5.1132,6.6639,13.9564,4.1073,20.2012,65.8424,23.9732,25.01272003,38.11779623
5135,28.85646218,49.18587318,0,96.0,2.32,12.7,17.2,23.9,3.36233396,26.1,0.764,0.9475,0.3365,3.2322,6.9701,15.7432,3.7599,18.8215,56.6183,17.2383,1.0,18.29460039
5137,20.62335092,49.61618423,0,96.0,2.3,14.0,23.2,21.2,3.0264239739999996,23.8,0.8752,0.659,0.192,3.2345,5.6005,16.442,4.133,22.7014,60.018,22.7014,1.0,8.943271756
5139,37.22250556,48.70740913,0,96.0,2.43,11.1,16.1,17.5,3.616913566,23.6,0.7646,0.8768,0.503,3.5811,7.4742,13.4156,4.8291,14.7992,61.9778,22.3413,39.7344231,39.16762181
5141,23.36402406,49.79752191,0,96.0,2.3,11.7,15.2,19.8,3.151197406,21.9,0.7892,0.8615,0.7342,3.7433,7.2193,12.8342,2.8075,14.4385,53.4492,20.0,1.0,22.39550362
5143,253.9220994,49.99310163,1,57.0,2.56,14.9,15.8,13.8,5.537027525,25.1,0.5108,0.2047,0.8825,4.5801,7.1405,10.8425,3.8037,12.6496,52.5443,19.0877,44.64458714,32.91896898
5145,76.08397419,48.70671593,1,96.0,2.52,10.5,15.4,15.2,4.331837654,29.0,0.6717,0.5871,0.8523,3.2539,7.5349,14.8816,3.8733,14.0819,61.9806,22.934,41.94853001,38.67761532
5147,10.77046303,48.41772152,0,96.0,2.28,11.3,22.9,26.8,2.3768074830000003,24.8,0.9315,0.9723,0.4836,2.3649,7.9054,16.8919,4.5946,15.8784,63.6486,24.6622,30.55490739,29.11128787
5149,22.94780533,50.0866876,0,96.0,2.66,14.8,21.1,18.8,3.133222304,18.3,0.7494,0.9742,0.5521,2.0871,6.5593,17.74,3.6971,20.9899,56.2016,18.545,57.15118355,31.89127201
