fips,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
27159,0.0813,0.1237,0.0438,0.66,High Vulnerability,0.58,Moderate Concern,0.0196,0.0073,0.0042,0.006,0.0,0.9416
28097,0.189,0.307,0.1309,0.89,Very High Vulnerability,0.91,Very High Concern,0.0139,0.0,0.0029,0.4405,0.0,0.5215
28073,0.1836,0.2909,0.1256,0.53,Moderate Vulnerability,0.62,High Concern,0.0271,0.0004,0.0129,0.2008,0.0,0.741
28107,0.1857,0.3014,0.1262,0.89,Very High Vulnerability,0.9,Very High Concern,0.0204,0.0019,0.0001,0.4835,0.0006,0.4692
27153,0.0813,0.1237,0.0438,0.48,Moderate Vulnerability,0.49,Moderate Concern,0.0603,0.0033,0.0064,0.0069,0.0002,0.9114
27125,0.0762,0.1179,0.0411,0.15,Very Low Vulnerability,0.45,Moderate Concern,0.0386,0.0157,0.0,0.0045,0.0,0.9205
28009,0.1959,0.3031,0.1357,0.66,High Vulnerability,0.88,Very High Concern,0.026,0.0,0.0,0.3406,0.0018,0.6046
28127,0.175,0.2671,0.1189,0.91,Very High Vulnerability,0.9,Very High Concern,0.0025,0.0001,0.0055,0.3664,0.0,0.6159
29013,0.1425,0.1941,0.0845,0.39,Low Vulnerability,0.72,High Concern,0.0221,0.0059,0.0029,0.0151,0.0019,0.9414
27119,0.0762,0.1179,0.0411,0.37,Low Vulnerability,0.27,Low Concern,0.0649,0.0158,0.0099,0.0211,0.0003,0.8691
27089,0.0762,0.1179,0.0411,0.14,Very Low Vulnerability,0.31,Low Concern,0.0452,0.003,0.0035,0.0035,0.0009,0.9321
28049,0.1644,0.274,0.1102,0.87,Very High Vulnerability,0.77,High Concern,0.0154,0.0013,0.0077,0.7234,0.0003,0.245
