ToxPi Score,Name,Transmissible Cases,Disease Spread,Pop Mobility,Residential Density,Vaccines,Social Distancing,Testing,Hospital Beds,Hospital Ventilators,Pop Demographics,Air Pollution,Age Distribution,Co-morbidities,Health Disparities
0.6855418246532685,"West Virginia, Lewis",0.8973210774216746,0.8135861232617498,0.4817050901886821,0.8475,0.7139959432048681,0.825,0.1298678012512734,0.8796296296296295,0.6559999999999999,0.1787579163025054,0.3832335329341317,0.6114115319998742,0.5815506813158727,0.4599479868049794
0.6719618657997458,"Georgia, Stewart",0.9354731786660506,0.8031977395304168,0.4482264598853721,0.7759,0.832657200811359,0.3249999999999999,0.489288903999548,0.75,0.32896,0.7089659711458394,0.4790419161676646,0.5142005305328247,0.4967726716827362,0.7203746364641492
0.6605398450552338,"West Virginia, Cabell",0.7583167694701715,0.7101576502246606,0.6511842580142736,0.808,0.7931034482758621,1.0,0.1467678470082939,0.7962962962962963,0.408,0.3589550802242057,0.4431137724550898,0.5755097168756041,0.5605176153521687,0.4324586026634447
0.6579379641945424,"West Virginia, Logan",0.7706878775877172,0.7164338776981353,0.5399859503871082,0.7217,0.7089249492900608,0.75,0.2441607101901053,0.8055555555555555,0.6639999999999999,0.227252713285714,0.407185628742515,0.5898852876912913,0.6896413305796325,0.5824605828612248
0.6519459372206263,"West Virginia, Raleigh",0.7223434048805055,0.6888265408011418,0.5640356126095196,0.7074,0.797160243407708,1.0,0.2032227758321752,0.8055555555555555,0.472,0.4271689290458236,0.3712574850299401,0.6114115319998742,0.5824614796703392,0.4667551437605421
0.6505585825353444,"West Virginia, Randolph",0.7815439747958608,0.7103459609645587,0.5186914458835865,0.8545,0.7271805273833671,0.75,0.2369792350858606,0.8888888888888888,0.52,0.2884070344131822,0.3173652694610779,0.6335581539925471,0.4397458042301246,0.4817042441996859
0.6485665474273372,"Kentucky, Knox",0.8140203368833244,0.6846100204804926,0.5680869622421494,0.8173,0.6967545638945233,1.0,0.3351387758279061,0.6296296296296297,0.48,0.2512657921826258,0.4131736526946108,0.558371441896005,0.5894668583449472,0.5752288036783476
0.6470549026417811,"Alabama, Calhoun",0.7171511627763166,0.6246150166381704,0.6179997020686236,0.6492,0.6105476673427992,1.0,0.3821937164247075,0.8425925925925926,0.512,0.5817020624544216,0.5269461077844312,0.5539608364828539,0.5430519957701405,0.5271007930359048
0.6441875899032388,"Virginia, Danville City",0.6011905077207479,0.570145838139252,0.702972127357475,0.8841,0.6754563894523327,1.0,0.3049085745275012,0.7592592592592592,0.568,0.6539689534213116,0.4191616766467066,0.6207997313712245,0.440853882118605,0.5868881113164246
0.6432319250363732,"West Virginia, Ohio",0.6615295753426907,0.6373230151331152,0.6691781372717263,0.7482,0.8874239350912779,1.0,0.1943380394353744,0.7222222222222222,0.48,0.3221131748483586,0.4730538922155689,0.6317620454190964,0.4565182553372893,0.1725303330571552
0.6411618830547429,"Georgia, Gordon",0.5028566344453916,0.4785447600426977,0.6353087387210476,0.7545,0.8691683569979716,1.0,0.374626350128414,0.7962962962962963,0.6559999999999999,0.4340732426667752,0.4790419161676646,0.4886637078344629,0.3870192199410007,0.5802433669127239
0.6404884458264496,"Kentucky, Perry",0.8025769328188856,0.6758708221339657,0.571774270610542,0.9831,0.4705882352941177,0.75,0.158591974467308,0.7777777777777777,0.736,0.265691448159586,0.3952095808383233,0.5287228277828,0.6452059455589765,0.5802195076489529
0.6392244783681655,"South Carolina, Laurens",0.7151070837179839,0.6513098485455184,0.5223497273208497,0.8704,0.6754563894523327,1.0,0.2823172177058854,0.7407407407407407,0.488,0.5661794171074395,0.4550898203592814,0.5712984652022484,0.4532810455087834,0.6066246880885715
0.6391021902242265,"North Carolina, Scotland",0.6194457105117479,0.5706815025650606,0.5942342207762943,0.9965,0.6135902636916836,0.825,0.3028384158598621,0.8703703703703702,0.472,0.9335712223392008,0.4311377245508981,0.5561726637917245,0.5829923183214187,0.6548945220704852
0.6372769045811508,"West Virginia, Harrison",0.8415158610426134,0.7912002099500259,0.601923970773734,0.5425,0.8022312373225152,1.0,0.1869539578811065,0.7222222222222222,0.272,0.2675612644779924,0.3952095808383233,0.5918944128138512,0.5029580472559054,0.3421006640505448
0.6348557542800753,"Virginia, Smyth",0.7849962497062674,0.7417187533830453,0.5745982640782249,0.83,0.5811359026369168,0.825,0.3506073834639244,1.0,0.296,0.265539787058884,0.3473053892215569,0.6353456481032828,0.4465077042570615,0.5139676611296623
0.6346128716825621,"Alabama, Cullman",0.6703050653842274,0.5932876008217195,0.5680143477552079,0.3945,0.6713995943204869,1.0,0.3248911902286665,0.8148148148148148,0.736,0.3309012639116107,0.5149700598802395,0.579673914473061,0.4932604824586343,0.4920297342138572
0.6341846025343998,"West Virginia, Monongalia",0.6021954320564633,0.6237629842268895,0.6239890671866366,0.992,0.8549695740365112,1.0,0.2632014368221252,0.8703703703703702,0.392,0.324218585530253,0.4011976047904191,0.4191246507650109,0.3193339357354525,0.2999890634948299
0.6339376494942199,"Alabama, Talladega",0.6822787619594467,0.6181218450609458,0.5783318833445583,0.7985,0.6916835699797161,1.0,0.3914520345488568,0.6666666666666666,0.448,0.5973574269857527,0.5089820359281437,0.560557323866868,0.5608920953394482,0.5730715386718093
0.6338250194796032,"Kentucky, Whitley",0.8555331176348153,0.7199217076597721,0.5755211213028518,0.8946,0.6237322515212982,1.0,0.2637512129833324,0.5798148148148148,0.41696,0.226767698076109,0.4131736526946108,0.5310891329236117,0.5266156392784819,0.5695311630446407
