"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!20!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!5!0x5ced5cff","Intervention: Vaccines!15!0x4258c9ff","Intervention: Social Distancing!5!0x6079f7ff","Intervention: Testing!5!0x7d90f3ff","Health & Environment: Hospital Beds!10!0x6b0b9eff","Health & Environment: Hospital Ventilators!10!0x7e24aeff","Health & Environment: Pop Demographics!3!0x933fbfff","Health & Environment: Air Pollution!3!0xa95ad2ff","Health & Environment: Age Distribution!3!0xc177e7ff","Health & Environment: Co-morbidities!3!0xdb95feff","Health & Environment: Health Disparities!3!0xe1a6ffff"
"0.6855418246532685","4","7","West Virginia, Lewis","-80.4999,38.9947","0.8973210774216746","0.8135861232617498","0.4817050901886821","0.8475","0.7139959432048681","0.825","0.12986780125127348","0.8796296296296295","0.6559999999999999","0.17875791630250543","0.38323353293413176","0.6114115319998742","0.5815506813158727","0.4599479868049794"
"0.6719618657997458","6","5","Georgia, Stewart","-84.8321,32.08","0.9354731786660506","0.8031977395304168","0.4482264598853721","0.7759","0.832657200811359","0.32499999999999996","0.48928890399954805","0.75","0.32896000000000003","0.7089659711458394","0.47904191616766467","0.5142005305328247","0.49677267168273626","0.7203746364641492"
"0.6605398450552338","4","7","West Virginia, Cabell","-82.2386,38.4242","0.7583167694701715","0.7101576502246606","0.6511842580142736","0.808","0.7931034482758621","1.0","0.14676784700829393","0.7962962962962963","0.40800000000000003","0.35895508022420575","0.44311377245508987","0.5755097168756041","0.5605176153521687","0.4324586026634447"
"0.6579379641945424","4","7","West Virginia, Logan","-81.9353,37.83","0.7706878775877172","0.7164338776981353","0.5399859503871082","0.7217","0.7089249492900608","0.75","0.24416071019010538","0.8055555555555555","0.6639999999999999","0.22725271328571406","0.407185628742515","0.5898852876912913","0.6896413305796325","0.5824605828612248"
"0.6519459372206263","4","7","West Virginia, Raleigh","-81.2456,37.7694","0.7223434048805055","0.6888265408011418","0.5640356126095196","0.7074","0.797160243407708","1.0","0.20322277583217524","0.8055555555555555","0.472","0.42716892904582365","0.3712574850299401","0.6114115319998742","0.5824614796703392","0.4667551437605421"
"0.6505585825353444","4","7","West Virginia, Randolph","-79.8792,38.7699","0.7815439747958608","0.7103459609645587","0.5186914458835865","0.8545","0.7271805273833671","0.75","0.23697923508586063","0.8888888888888888","0.52","0.2884070344131822","0.3173652694610779","0.6335581539925471","0.43974580423012466","0.4817042441996859"
"0.6485665474273372","4","7","Kentucky, Knox","-83.854,36.8923","0.8140203368833244","0.6846100204804926","0.5680869622421494","0.8173","0.6967545638945233","1.0","0.33513877582790613","0.6296296296296297","0.48","0.25126579218262585","0.4131736526946108","0.558371441896005","0.5894668583449472","0.5752288036783476"
"0.6470549026417811","4","7","Alabama, Calhoun","-85.8263,33.7748","0.7171511627763166","0.6246150166381704","0.6179997020686236","0.6492","0.6105476673427992","1.0","0.3821937164247075","0.8425925925925926","0.512","0.5817020624544216","0.5269461077844312","0.5539608364828539","0.5430519957701405","0.5271007930359048"
"0.6441875899032388","10","7","Virginia, Danville City","-79.404,36.5802","0.6011905077207479","0.570145838139252","0.702972127357475","0.8841","0.6754563894523327","1.0","0.3049085745275012","0.7592592592592592","0.568","0.6539689534213116","0.4191616766467066","0.6207997313712245","0.440853882118605","0.5868881113164246"
"0.6432319250363732","10","7","West Virginia, Ohio","-80.622,40.0955","0.6615295753426907","0.6373230151331152","0.6691781372717263","0.7482","0.8874239350912779","1.0","0.1943380394353744","0.7222222222222222","0.48","0.3221131748483586","0.4730538922155689","0.6317620454190964","0.45651825533728935","0.17253033305715526"
"0.6411618830547429","10","6","Georgia, Gordon","-84.873,34.5049","0.5028566344453916","0.47854476004269775","0.6353087387210476","0.7545","0.8691683569979716","1.0","0.374626350128414","0.7962962962962963","0.6559999999999999","0.4340732426667752","0.47904191616766467","0.4886637078344629","0.38701921994100075","0.5802433669127239"
"0.6404884458264496","4","7","Kentucky, Perry","-83.2292,37.2502","0.8025769328188856","0.6758708221339657","0.571774270610542","0.9831","0.4705882352941177","0.75","0.15859197446730802","0.7777777777777777","0.736","0.265691448159586","0.39520958083832336","0.5287228277828","0.6452059455589765","0.5802195076489529"
"0.6392244783681655","4","7","South Carolina, Laurens","-82.0049,34.4824","0.7151070837179839","0.6513098485455184","0.5223497273208497","0.8704","0.6754563894523327","1.0","0.2823172177058854","0.7407407407407407","0.488","0.5661794171074395","0.4550898203592814","0.5712984652022484","0.45328104550878345","0.6066246880885715"
"0.6391021902242265","10","7","North Carolina, Scotland","-79.4758,34.8386","0.6194457105117479","0.5706815025650606","0.5942342207762943","0.9965","0.6135902636916836","0.825","0.3028384158598621","0.8703703703703702","0.472","0.9335712223392009","0.43113772455089816","0.5561726637917245","0.5829923183214187","0.6548945220704852"
"0.6372769045811508","4","5","West Virginia, Harrison","-80.3792,39.2854","0.8415158610426134","0.7912002099500259","0.601923970773734","0.5425","0.8022312373225152","1.0","0.18695395788110655","0.7222222222222222","0.272","0.2675612644779924","0.39520958083832336","0.5918944128138512","0.5029580472559054","0.34210066405054484"
"0.6348557542800753","4","7","Virginia, Smyth","-81.5334,36.8446","0.7849962497062674","0.7417187533830453","0.5745982640782249","0.83","0.5811359026369168","0.825","0.3506073834639244","1.0","0.296","0.26553978705888404","0.34730538922155696","0.6353456481032828","0.4465077042570615","0.5139676611296623"
